=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.12 21:51:42 =~=~=~=~=~=~=~=~=~=~=~=
=J
SB)G4TjI$-U&røXL,1J=P^SI}C$JKÒKVSCa-JK,J
SB)G4TjI$-U&røXL,1J=P^SI}C$JKÒKVSCa-JK,









Found Edge
-47
-47
1555,178.98,317.51
1558,178.27,317.95
1559,178.27,318.39
1561,178.27,319.04
1563,179.33,319.48
1566,179.33,319.92
1568,178.27,320.58
1570,178.27,321.02
1572,178.27,321.67
1574,179.33,322.11
1576,179.33,322.55
1578,178.27,322.77
1580,178.27,323.21
1581,178.27,323.42
1584,179.33,323.86
1585,179.33,324.30
1588,178.63,324.30
1589,178.63,324.74
1591,178.63,325.40
1593,178.98,325.83
1595,178.98,326.27
1597,178.63,326.93
1599,178.63,327.37
1601,178.63,328.02
1603,179.33,328.46
1605,179.33,328.90
1606,178.27,329.56
1610,178.27,329.99
1611,178.27,330.43
1614,179.33,330.87
1615,179.33,331.31
1617,178.27,331.53
1619,178.27,331.97
1621,178.27,332.40
1623,179.33,332.62
1625,179.33,333.06
1627,178.27,333.72
1629,178.27,334.16
1631,178.27,334.59
1633,179.68,335.03
1635,179.68,335.47
1636,178.63,336.13
1639,178.63,336.56
1640,178.63,337.00
1643,178.98,337.22
1644,178.98,337.66
1646,178.98,337.88
1648,178.98,338.10
1651,178.98,338.54
1653,178.63,339.19
1655,178.63,339.63
1657,178.63,340.29
1659,178.98,340.72
1661,178.98,341.16
1663,178.63,341.82
1665,178.63,342.26
1666,178.63,342.91
1669,178.98,343.35
1670,178.98,343.79
1672,178.98,344.45
1674,178.98,344.89
1676,178.98,345.54
1678,178.63,345.98
1680,178.63,346.42
1682,178.98,347.08
1684,178.98,347.51
1686,178.98,347.95
1688,178.98,348.17
1690,178.98,348.61
1691,178.63,348.83
1695,178.63,349.27
1696,178.63,349.70
1699,179.33,350.58
